Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel
27-02-19,2019,Aqua,119063,4,North America,Mexico,Dealership
27-02-19,2019,Corolla,64635,5,South America,Argentina,Wholesale
27-02-19,2019,Corolla,43068,1,South America,Colombia,Wholesale
28-02-19,2019,Prius,92306,5,Africa,Morocco,Wholesale
28-02-19,2019,Prius,97639,1,Asia,India,Wholesale
28-02-19,2019,Prius,34163,1,North America,Canada,Dealership
02-03-19,2019,Yaris,65169,5,North America,Canada,Wholesale
02-03-19,2019,Prius,46515,4,Africa,Nigeria,Wholesale
03-03-19,2019,Aqua,101533,2,Africa,Kenya,Dealership
03-03-19,2019,Land Cruiser,89432,5,North America,United States,Wholesale
03-03-19,2019,Yaris,115343,3,South America,Argentina,Wholesale
04-03-19,2019,Aqua,114463,1,Africa,Morocco,Wholesale
04-03-19,2019,Hilux,97741,2,South America,Peru,Wholesale
04-03-19,2019,Aqua,109517,3,Asia,China,Dealership
04-03-19,2019,Yaris,72018,2,North America,Canada,Wholesale
05-03-19,2019,Corolla,92546,4,North America,Canada,Dealership
05-03-19,2019,Aqua,110490,3,North America,Canada,Dealership
05-03-19,2019,Corolla,106167,5,Europe,Germany,Dealership
06-03-19,2019,Prius,107179,2,South America,Argentina,Dealership
07-03-19,2019,Corolla,59292,5,North America,Canada,Wholesale
07-03-19,2019,Yaris,88990,5,Africa,South Africa,Wholesale
07-03-19,2019,Aqua,58949,2,Europe,Italy,Dealership
07-03-19,2019,Corolla,86964,2,Africa,Kenya,Dealership
08-03-19,2019,Corolla,97541,1,Africa,Kenya,Dealership
08-03-19,2019,Hilux,97419,1,Europe,France,Wholesale
08-03-19,2019,Aqua,64527,3,Africa,South Africa,Dealership
08-03-19,2019,Corolla,58385,3,South America,Argentina,Wholesale
08-03-19,2019,Corolla,68913,3,Asia,Japan,Dealership
09-03-19,2019,Hilux,104861,1,Asia,Thailand,Wholesale
09-03-19,2019,Hilux,74133,5,Africa,Nigeria,Wholesale
10-03-19,2019,Corolla,101484,4,Africa,Egypt,Dealership
10-03-19,2019,Aqua,89481,4,South America,Chile,Wholesale
10-03-19,2019,Aqua,44227,2,Africa,Egypt,Wholesale
11-03-19,2019,Prius,105969,1,North America,Mexico,Dealership
11-03-19,2019,Land Cruiser,96042,2,North America,Mexico,Dealership
12-03-19,2019,Aqua,65271,4,North America,United States,Wholesale
12-03-19,2019,Aqua,112594,2,Asia,South Korea,Wholesale
12-03-19,2019,Land Cruiser,105653,1,South America,Argentina,Wholesale
12-03-19,2019,Prius,55775,1,North America,Mexico,Wholesale
13-03-19,2019,Yaris,45014,1,South America,Peru,Dealership
13-03-19,2019,Aqua,69314,4,Europe,Italy,Wholesale
14-03-19,2019,Corolla,63336,1,Asia,China,Wholesale
14-03-19,2019,Prius,90690,3,South America,Peru,Wholesale
14-03-19,2019,Aqua,56627,3,Europe,Germany,Wholesale
15-03-19,2019,Aqua,37587,1,Africa,Kenya,Wholesale
15-03-19,2019,Land Cruiser,73023,3,South America,Colombia,Wholesale
15-03-19,2019,Corolla,64229,1,South America,Brazil,Wholesale
15-03-19,2019,Land Cruiser,32870,4,Asia,Thailand,Wholesale
15-03-19,2019,Prius,77457,3,North America,Canada,Wholesale
16-03-19,2019,Aqua,65500,4,South America,Peru,Wholesale
16-03-19,2019,Land Cruiser,119547,3,Europe,United Kingdom,Dealership
16-03-19,2019,Aqua,93503,5,South America,Brazil,Dealership
17-03-19,2019,Hilux,92237,5,South America,Colombia,Wholesale
18-03-19,2019,Aqua,117694,4,Africa,Egypt,Wholesale
18-03-19,2019,Corolla,102378,3,Africa,Nigeria,Dealership
18-03-19,2019,Land Cruiser,41423,5,Europe,Spain,Dealership
19-03-19,2019,Hilux,49039,1,Asia,China,Wholesale
19-03-19,2019,Corolla,64511,2,North America,Canada,Wholesale
20-03-19,2019,Prius,109798,5,North America,United States,Wholesale
20-03-19,2019,Prius,53583,5,Africa,South Africa,Dealership
20-03-19,2019,Prius,52765,1,South America,Brazil,Wholesale
20-03-19,2019,Yaris,106730,5,North America,United States,Wholesale
20-03-19,2019,Prius,94546,5,North America,United States,Wholesale
20-03-19,2019,Corolla,69530,5,Europe,Spain,Wholesale
20-03-19,2019,Prius,58111,3,North America,United States,Wholesale
20-03-19,2019,Hilux,31076,5,South America,Chile,Wholesale
21-03-19,2019,Aqua,106752,2,North America,Mexico,Dealership
22-03-19,2019,Hilux,44567,3,Europe,Spain,Wholesale
23-03-19,2019,Aqua,70289,3,South America,Argentina,Wholesale
23-03-19,2019,Aqua,63299,4,North America,Mexico,Dealership
23-03-19,2019,Aqua,54463,5,Europe,France,Wholesale
23-03-19,2019,Land Cruiser,107195,2,Europe,Germany,Wholesale
24-03-19,2019,Land Cruiser,80978,2,North America,Canada,Wholesale
25-03-19,2019,Corolla,61852,4,South America,Colombia,Wholesale
25-03-19,2019,Prius,76779,2,Asia,India,Dealership
26-03-19,2019,Yaris,58333,3,North America,Mexico,Wholesale
26-03-19,2019,Hilux,41629,1,Asia,India,Dealership
26-03-19,2019,Aqua,68648,3,Europe,Germany,Wholesale
26-03-19,2019,Aqua,102681,1,Europe,Spain,Wholesale
26-03-19,2019,Corolla,62919,2,Europe,Spain,Wholesale
26-03-19,2019,Land Cruiser,84289,5,South America,Chile,Wholesale
27-03-19,2019,Prius,85441,1,Asia,Thailand,Wholesale
27-03-19,2019,Land Cruiser,119294,3,South America,Chile,Wholesale
27-03-19,2019,Prius,76809,3,Asia,South Korea,Wholesale
27-03-19,2019,Hilux,106031,3,Africa,Egypt,Wholesale
27-03-19,2019,Corolla,68875,3,Asia,China,Wholesale
28-03-19,2019,Aqua,42069,4,Africa,Nigeria,Dealership
28-03-19,2019,Corolla,93726,2,Asia,Japan,Dealership
28-03-19,2019,Prius,114682,5,Europe,Spain,Wholesale
28-03-19,2019,Corolla,49887,4,Europe,United Kingdom,Dealership
29-03-19,2019,Corolla,30605,2,North America,United States,Wholesale
29-03-19,2019,Prius,107952,1,Asia,South Korea,Wholesale
30-03-19,2019,Land Cruiser,84697,4,South America,Chile,Wholesale
30-03-19,2019,Hilux,83649,4,South America,Peru,Wholesale
31-03-19,2019,Land Cruiser,114559,4,Africa,Morocco,Dealership
31-03-19,2019,Prius,73426,4,Asia,Japan,Wholesale
31-03-19,2019,Land Cruiser,71682,1,Africa,Kenya,Wholesale
01-04-19,2019,Prius,73388,3,Asia,Japan,Dealership
01-04-19,2019,Yaris,80142,4,Africa,Nigeria,Dealership
01-04-19,2019,Corolla,90049,2,South America,Argentina,Wholesale
02-04-19,2019,Hilux,100540,3,South America,Chile,Wholesale
02-04-19,2019,Land Cruiser,90361,1,Asia,Japan,Wholesale
03-04-19,2019,Aqua,64519,5,Europe,Spain,Dealership
03-04-19,2019,Corolla,118992,1,Africa,Nigeria,Wholesale
05-04-19,2019,Land Cruiser,88353,5,South America,Chile,Wholesale
05-04-19,2019,Corolla,69648,2,Asia,India,Wholesale
05-04-19,2019,Aqua,33573,5,South America,Colombia,Wholesale
05-04-19,2019,Aqua,106859,4,Africa,Nigeria,Wholesale
05-04-19,2019,Corolla,91599,3,South America,Chile,Wholesale
05-04-19,2019,Corolla,103965,3,South America,Argentina,Wholesale
06-04-19,2019,Aqua,110373,4,Asia,China,Wholesale
06-04-19,2019,Aqua,65377,3,South America,Peru,Wholesale
07-04-19,2019,Hilux,116923,1,Europe,Spain,Wholesale
07-04-19,2019,Hilux,114728,4,Asia,Japan,Wholesale
07-04-19,2019,Corolla,72986,4,Europe,Spain,Wholesale
07-04-19,2019,Prius,53810,3,Europe,Spain,Wholesale
07-04-19,2019,Corolla,69768,5,Asia,China,Dealership
08-04-19,2019,Prius,60100,2,Asia,Thailand,Wholesale
08-04-19,2019,Corolla,112871,5,Africa,Morocco,Wholesale
08-04-19,2019,Aqua,91264,1,South America,Chile,Wholesale
09-04-19,2019,Land Cruiser,67269,4,North America,United States,Wholesale
09-04-19,2019,Aqua,79781,4,Asia,Japan,Dealership
09-04-19,2019,Prius,89113,1,North America,United States,Wholesale
09-04-19,2019,Corolla,79190,2,South America,Argentina,Dealership
09-04-19,2019,Hilux,33646,4,North America,United States,Wholesale
10-04-19,2019,Corolla,88413,5,North America,Canada,Dealership
10-04-19,2019,Yaris,84626,1,Africa,Morocco,Wholesale
10-04-19,2019,Yaris,103750,4,North America,Canada,Dealership
12-04-19,2019,Hilux,48001,5,North America,Canada,Wholesale
12-04-19,2019,Corolla,105043,1,Africa,Morocco,Wholesale
13-04-19,2019,Hilux,95039,1,Europe,Germany,Dealership
13-04-19,2019,Aqua,38360,1,Africa,Kenya,Dealership
14-04-19,2019,Hilux,57014,2,Asia,India,Wholesale
15-04-19,2019,Aqua,115658,1,Africa,Kenya,Wholesale
15-04-19,2019,Aqua,34909,3,North America,Mexico,Wholesale
15-04-19,2019,Aqua,107090,3,Africa,Kenya,Wholesale
16-04-19,2019,Yaris,62007,1,Europe,Germany,Dealership
16-04-19,2019,Yaris,112141,4,South America,Brazil,Wholesale
17-04-19,2019,Land Cruiser,117691,3,Africa,Morocco,Dealership
17-04-19,2019,Corolla,112990,5,Europe,Germany,Wholesale
17-04-19,2019,Aqua,78556,5,South America,Chile,Wholesale
17-04-19,2019,Prius,93177,4,Africa,Egypt,Wholesale
17-04-19,2019,Yaris,98495,5,Africa,Morocco,Dealership
18-04-19,2019,Aqua,44559,4,Asia,Japan,Dealership
19-04-19,2019,Corolla,110919,5,Africa,Kenya,Wholesale
19-04-19,2019,Prius,66963,1,South America,Chile,Dealership
19-04-19,2019,Corolla,101521,5,North America,Mexico,Dealership
20-04-19,2019,Aqua,98201,1,South America,Brazil,Wholesale
20-04-19,2019,Prius,42869,5,North America,Canada,Wholesale
20-04-19,2019,Hilux,74974,5,North America,Mexico,Dealership
20-04-19,2019,Hilux,110535,5,South America,Argentina,Dealership
20-04-19,2019,Hilux,106489,1,Africa,Morocco,Dealership
21-04-19,2019,Corolla,79117,5,Asia,India,Dealership
21-04-19,2019,Land Cruiser,57609,5,Europe,United Kingdom,Dealership
22-04-19,2019,Prius,93956,2,Africa,Egypt,Wholesale
22-04-19,2019,Aqua,32976,1,South America,Brazil,Dealership
22-04-19,2019,Land Cruiser,53138,3,Asia,India,Wholesale
22-04-19,2019,Land Cruiser,47843,4,Africa,Nigeria,Wholesale
22-04-19,2019,Prius,62559,2,South America,Argentina,Dealership
22-04-19,2019,Land Cruiser,108255,5,Asia,India,Dealership
23-04-19,2019,Aqua,64162,3,Europe,United Kingdom,Wholesale
23-04-19,2019,Land Cruiser,59048,3,South America,Argentina,Wholesale
23-04-19,2019,Prius,106347,5,Asia,Thailand,Dealership
23-04-19,2019,Hilux,104397,5,South America,Brazil,Wholesale
23-04-19,2019,Hilux,81759,2,Asia,Thailand,Wholesale
23-04-19,2019,Land Cruiser,48220,1,North America,United States,Wholesale
23-04-19,2019,Corolla,31887,2,South America,Brazil,Wholesale
24-04-19,2019,Hilux,93153,1,Africa,Morocco,Wholesale
24-04-19,2019,Prius,44852,3,Europe,France,Dealership
24-04-19,2019,Hilux,86938,4,Europe,United Kingdom,Wholesale
25-04-19,2019,Land Cruiser,104398,5,Asia,South Korea,Wholesale
25-04-19,2019,Land Cruiser,49351,2,North America,United States,Wholesale
26-04-19,2019,Aqua,116506,3,Africa,Morocco,Dealership
26-04-19,2019,Hilux,82513,2,South America,Chile,Wholesale
27-04-19,2019,Prius,74619,1,South America,Argentina,Wholesale
27-04-19,2019,Prius,30207,5,North America,Canada,Wholesale
27-04-19,2019,Land Cruiser,51400,1,Europe,Spain,Wholesale
27-04-19,2019,Yaris,88822,1,North America,Canada,Wholesale
27-04-19,2019,Aqua,70682,1,Asia,Thailand,Dealership
28-04-19,2019,Aqua,83168,3,North America,Canada,Wholesale
28-04-19,2019,Land Cruiser,104873,5,South America,Peru,Wholesale
28-04-19,2019,Land Cruiser,62669,4,South America,Brazil,Wholesale
29-04-19,2019,Hilux,80354,2,North America,United States,Dealership
30-04-19,2019,Corolla,82287,1,North America,United States,Wholesale
01-05-19,2019,Aqua,53536,5,South America,Chile,Dealership
01-05-19,2019,Hilux,105998,2,Europe,Germany,Dealership
02-05-19,2019,Corolla,46938,5,Asia,Thailand,Wholesale
02-05-19,2019,Hilux,109944,2,South America,Argentina,Wholesale
03-05-19,2019,Yaris,117009,5,North America,Mexico,Wholesale
03-05-19,2019,Prius,55724,4,Africa,Egypt,Wholesale
03-05-19,2019,Prius,89379,5,Europe,Germany,Wholesale
03-05-19,2019,Hilux,40564,5,Asia,Thailand,Wholesale
04-05-19,2019,Corolla,35456,1,Asia,China,Wholesale
04-05-19,2019,Land Cruiser,98517,1,Europe,United Kingdom,Wholesale
05-05-19,2019,Hilux,94685,1,North America,Mexico,Wholesale
05-05-19,2019,Land Cruiser,82018,5,South America,Peru,Dealership
05-05-19,2019,Prius,82214,4,North America,Canada,Dealership
06-05-19,2019,Land Cruiser,79954,2,South America,Colombia,Wholesale
08-05-19,2019,Prius,89423,1,Asia,Thailand,Wholesale
08-05-19,2019,Hilux,91388,3,Africa,Egypt,Wholesale
08-05-19,2019,Prius,72448,5,Africa,Kenya,Dealership
09-05-19,2019,Corolla,32846,4,Asia,Thailand,Wholesale
09-05-19,2019,Prius,100400,4,South America,Peru,Wholesale
09-05-19,2019,Corolla,92740,1,Africa,Nigeria,Dealership
09-05-19,2019,Aqua,40711,1,Europe,Germany,Wholesale
09-05-19,2019,Hilux,95036,3,Asia,Thailand,Dealership
09-05-19,2019,Corolla,50563,3,South America,Chile,Wholesale
10-05-19,2019,Corolla,62800,1,Africa,Morocco,Wholesale
10-05-19,2019,Corolla,75440,2,South America,Peru,Wholesale
11-05-19,2019,Aqua,88527,1,North America,United States,Dealership
11-05-19,2019,Land Cruiser,76546,1,Asia,Thailand,Wholesale
11-05-19,2019,Hilux,94547,4,Europe,France,Wholesale
11-05-19,2019,Yaris,38712,1,Asia,Japan,Wholesale
11-05-19,2019,Hilux,106169,1,South America,Brazil,Wholesale
12-05-19,2019,Hilux,53321,1,North America,Mexico,Wholesale
12-05-19,2019,Aqua,103746,2,Europe,France,Wholesale
13-05-19,2019,Corolla,43806,4,Asia,South Korea,Wholesale
13-05-19,2019,Corolla,114683,5,North America,United States,Wholesale
13-05-19,2019,Corolla,80117,5,North America,Mexico,Wholesale
13-05-19,2019,Aqua,92415,5,Europe,United Kingdom,Wholesale
14-05-19,2019,Corolla,36732,5,North America,Canada,Dealership
15-05-19,2019,Prius,46972,4,Africa,Nigeria,Wholesale
16-05-19,2019,Land Cruiser,93571,1,South America,Colombia,Dealership
16-05-19,2019,Prius,78555,5,Asia,South Korea,Dealership
16-05-19,2019,Prius,109712,1,South America,Chile,Dealership
16-05-19,2019,Hilux,68210,5,Africa,Nigeria,Wholesale
16-05-19,2019,Corolla,72124,2,Europe,United Kingdom,Wholesale
16-05-19,2019,Land Cruiser,46956,1,Europe,United Kingdom,Wholesale
17-05-19,2019,Land Cruiser,119686,4,South America,Chile,Wholesale
17-05-19,2019,Hilux,30318,2,North America,Canada,Wholesale
18-05-19,2019,Aqua,96611,2,South America,Argentina,Wholesale
18-05-19,2019,Hilux,60172,4,North America,United States,Wholesale
18-05-19,2019,Aqua,107313,2,North America,Mexico,Dealership
19-05-19,2019,Yaris,111795,1,Africa,Egypt,Wholesale
19-05-19,2019,Corolla,80764,3,Asia,South Korea,Dealership
20-05-19,2019,Aqua,47401,3,Asia,South Korea,Wholesale
20-05-19,2019,Land Cruiser,73034,5,South America,Peru,Wholesale
21-05-19,2019,Aqua,116257,5,South America,Brazil,Wholesale
21-05-19,2019,Land Cruiser,58082,1,Asia,Japan,Wholesale
23-05-19,2019,Corolla,62021,4,Asia,South Korea,Wholesale
23-05-19,2019,Land Cruiser,48540,1,Asia,Japan,Wholesale
23-05-19,2019,Land Cruiser,31705,5,Asia,Japan,Wholesale
24-05-19,2019,Corolla,107492,2,North America,United States,Wholesale
25-05-19,2019,Corolla,63785,1,North America,Mexico,Dealership
25-05-19,2019,Aqua,96153,1,Africa,Nigeria,Wholesale
26-05-19,2019,Prius,58604,4,Europe,Italy,Dealership
27-05-19,2019,Land Cruiser,75588,5,Europe,United Kingdom,Dealership
27-05-19,2019,Corolla,46838,1,Africa,Morocco,Wholesale
27-05-19,2019,Corolla,46439,2,Europe,Italy,Dealership
28-05-19,2019,Corolla,116840,2,South America,Peru,Wholesale
28-05-19,2019,Corolla,45316,3,Africa,Kenya,Wholesale
28-05-19,2019,Hilux,107700,5,Europe,Germany,Wholesale
29-05-19,2019,Corolla,68738,2,South America,Argentina,Wholesale
29-05-19,2019,Corolla,68941,4,Africa,Nigeria,Wholesale
29-05-19,2019,Hilux,90766,5,South America,Argentina,Wholesale
29-05-19,2019,Aqua,47674,2,South America,Chile,Wholesale
29-05-19,2019,Prius,36861,1,Europe,Germany,Wholesale
30-05-19,2019,Prius,92137,5,Europe,Spain,Wholesale
30-05-19,2019,Prius,117057,2,South America,Chile,Wholesale
30-05-19,2019,Aqua,53031,1,North America,Mexico,Wholesale
31-05-19,2019,Prius,117610,3,North America,Canada,Wholesale
31-05-19,2019,Corolla,114576,5,North America,Mexico,Wholesale
01-06-19,2019,Prius,92484,5,Europe,France,Wholesale
02-06-19,2019,Land Cruiser,88151,2,Europe,United Kingdom,Wholesale
